Time (sec),Watt
1,159.82
2,159.93
3,157.81
4,165.66
5,166.01
6,166.38
7,165.25
8,165.28
9,165.13
10,160.71
11,158.8
12,162.63
13,159.63
14,158.14
15,161.3
16,158.42
17,158.73
18,158.59
19,158.35
20,159.99
21,159.21
22,158.56
23,158.61
24,163.28
25,163.87
26,163.53
27,160.81
28,155.52
29,161.58
30,159.99
31,155.63
32,159.16
33,161.74
34,161.7
35,161.42
36,157.8
37,157.95
38,158.31
39,158.48
40,158.42
41,158.09
42,158.12
43,157.49
44,157.33
45,158.19
46,157.59
47,157.85
48,157.31
49,160.17
50,162.85
51,163.42
52,156.15
53,158.1
54,157.75
55,157.88
56,157.56
57,157.66
58,157.45
59,157.92
60,159.36
