Time (sec),Watt
1,149.2
2,149.73
3,147.79
4,140.73
5,156.55
6,160.81
7,160.06
8,158.01
9,157.13
10,155.42
11,157.57
12,159.5
13,161.16
14,157.11
15,156.72
16,160.44
17,164.75
18,161.82
19,158.15
20,158.78
21,166.46
22,171.27
23,170.83
24,169.81
25,170.18
26,169.12
27,168.31
28,167.44
29,166.09
30,165.48
31,166.44
32,164.62
33,162.83
34,161.81
35,161.95
36,160.98
37,161.52
38,161.59
39,161.75
40,161.11
41,162.72
42,162.36
43,162.38
44,162.37
45,162.69
46,162.13
47,160.4
48,156.25
49,159.43
50,160.2
51,159.07
52,159.82
53,158.98
54,159.33
55,159.11
56,160.05
57,159.9
58,160.42
59,159.84
60,160.88
