Time (sec),Watt
1,154.68
2,154.11
3,153.07
4,160.1
5,158.28
6,157.4
7,157.14
8,159.49
9,163.54
10,163.26
11,159.59
12,158.73
13,158.67
14,158.78
15,158.42
16,158.48
17,158.57
18,157.73
19,156.15
20,156.77
21,158.28
22,158.45
23,157.92
24,158.04
25,157.78
26,157.14
27,157.11
28,157.23
29,154.44
30,151.62
31,157.23
32,157.21
33,157.78
34,157.83
35,157.46
36,153.44
37,150.76
38,150.45
39,154.44
40,155.79
41,156.48
42,155.96
43,154.77
44,155.62
45,157.5
46,154.71
47,154.83
48,154.54
49,156.07
50,155.53
51,154.52
52,155.72
53,155.92
54,155.74
55,155.85
56,155.74
57,156.1
58,155.81
59,156.6
60,156.77
