Time (sec),Watt
1,153.2
2,151.16
3,154.48
4,161.99
5,163.02
6,162.8
7,162.56
8,161.4
9,157.99
10,156.79
11,160.9
12,160.32
13,159.55
14,157.5
15,157.79
16,156.93
17,156.61
18,155.9
19,156.6
20,155.01
21,156.24
22,155.82
23,155.87
24,155.34
25,156.44
26,155.23
27,155.88
28,155.75
29,155.57
30,155.96
31,155.6
32,155.83
33,155.72
34,155.92
35,156.07
36,155.68
37,155.76
38,155.26
39,155.44
40,154.53
41,155.47
42,154.88
43,155.44
44,154.65
45,154.03
46,155.29
47,155.57
48,154.75
49,155
50,155.42
51,155.37
52,155.32
53,155.46
54,156.56
55,155.61
56,155.24
57,155.1
58,155.47
59,156.2
60,157.03
