Time (sec),Watt
1,152.93
2,153.15
3,153.88
4,153.67
5,158.05
6,159.02
7,158.88
8,157.79
9,157.94
10,158.28
11,158.14
12,157.83
13,157.26
14,156.61
15,157.46
16,155.91
17,156.52
18,156.32
19,156.46
20,156.48
21,156.35
22,156.39
23,155.77
24,155.44
25,155.43
26,155.62
27,155.58
28,155.14
29,155.34
30,156.36
31,155.44
32,155.43
33,153.45
34,153.1
35,153.63
36,154.14
37,155.82
38,154.04
39,151.36
40,154.35
41,156.69
42,155.91
43,155.14
44,155.43
45,155.17
46,153.22
47,153.27
48,153.39
49,153.52
50,153.91
51,154.12
52,153.49
53,153.45
54,153.25
55,153.58
56,152.99
57,153.5
58,153.54
59,153.63
60,153.69
