Time (sec),Watt
1,155.7
2,156.4
3,153.17
4,156.91
5,159.59
6,160.35
7,159.31
8,159.36
9,159.64
10,159.79
11,160.38
12,160.59
13,159.33
14,159.02
15,159.25
16,158.96
17,159.22
18,158.9
19,153.83
20,157.05
21,157.6
22,157.96
23,156.7
24,157.64
25,157.42
26,157.86
27,156.64
28,157.1
29,156.36
30,156.33
31,156.66
32,157.02
33,156.94
34,156.87
35,156.34
36,157.02
37,157.06
38,157.01
39,156.91
40,156.67
41,156.57
42,154.23
43,153.28
44,152.63
45,153.3
46,153.16
47,152.82
48,152.25
49,152.6
50,152.36
51,153.74
52,153.39
53,152.95
54,153.12
55,154.69
56,153.89
57,152.91
58,153.15
59,153.33
60,154.6
