Time (sec),Watt
1,142.04
2,139.55
3,136.59
4,149.11
5,150.74
6,149.4
7,150.31
8,149.14
9,149.03
10,148.32
11,149.42
12,149.05
13,147.83
14,147.64
15,150.68
16,152.71
17,151.75
18,151.99
19,154.22
20,156.16
21,163.21
22,163.92
23,162.78
24,162.94
25,151.66
26,149.95
27,152.37
28,155.58
29,160.28
30,160.21
31,159.2
32,159.68
33,158.89
34,159.7
35,160.01
36,158.67
37,160.86
38,160.16
39,159.86
40,158.26
41,162.75
42,162.06
43,163.75
44,163.8
45,157.94
46,156.82
47,158.69
48,159.28
49,159.82
50,160.25
51,162.49
52,161.78
53,161.26
54,161.32
55,161.63
56,160.81
57,160.67
58,160.71
59,162.1
60,163.12
