Time (sec),Watt
1,141.64
2,138.89
3,140.34
4,156.2
5,157.81
6,157.06
7,155.67
8,154.41
9,153.14
10,151.94
11,151.59
12,152.44
13,150.54
14,150.95
15,153.8
16,156.26
17,154.64
18,156.17
19,157.2
20,157.61
21,161.75
22,166.35
23,166.54
24,166.31
25,160.09
26,152.94
27,154.7
28,157.93
29,157.97
30,162.68
31,163.15
32,163.48
33,162.63
34,162.2
35,161.55
36,162.88
37,163.05
38,163.09
39,164.58
40,166.7
41,166.03
42,166.85
43,164.6
44,162.86
45,161.62
46,165.95
47,163.09
48,164.57
49,166.3
50,163.75
51,163.77
52,163.94
53,164.49
54,163.91
55,163.33
56,163.75
57,169.58
58,164.03
59,162.94
60,162.28
