Time (sec),Watt
1,159.36
2,158.98
3,159.11
4,163.27
5,168.66
6,164.91
7,165.79
8,163.17
9,160.02
10,160.73
11,161.43
12,161.33
13,162.64
14,162.42
15,160.61
16,160.65
17,164.9
18,164.78
19,164.62
20,160.54
21,164.58
22,163.15
23,162.12
24,161.49
25,159.25
26,156.85
27,159.82
28,163.13
29,158.18
30,158.61
31,158.64
32,157.92
33,161.35
34,158.38
35,157.51
36,158.91
37,161.45
38,157.8
39,156.96
40,157.19
41,156.88
42,156.8
43,156.66
44,159.69
45,162.15
46,158.52
47,156.76
48,159.16
49,156.99
50,158.63
51,162.37
52,163.19
53,162.18
54,158.7
55,156.84
56,157.91
57,158.31
58,157.33
59,157.07
60,158.66
