Time (sec),Watt
1,139.95
2,139.68
3,138.31
4,135.15
5,149.74
6,153.61
7,153.19
8,152.49
9,152.43
10,149.79
11,149.78
12,149.91
13,149.15
14,149.2
15,150.87
16,153.74
17,154.19
18,153.34
19,154.35
20,154.76
21,158.81
22,162.45
23,164.25
24,165.99
25,166.53
26,150.69
27,152.67
28,156
29,158.44
30,160.89
31,162.08
32,159.35
33,158.39
34,158.95
35,159.46
36,160.23
37,162.06
38,160.62
39,160.86
40,161.67
41,163.15
42,164.23
43,163.04
44,160.42
45,161.47
46,161.67
47,159.53
48,163.51
49,164.18
50,163.27
51,160.18
52,160.47
53,160.58
54,161.95
55,161.67
56,160.69
57,160.62
58,161.07
59,161.6
60,159.51
