Time (sec),Watt
1,155.66
2,155.86
3,156.58
4,147.97
5,150.04
6,149.62
7,148.94
8,146.97
9,146.19
10,145.37
11,143.69
12,144.49
13,144.98
14,143.72
15,143.91
16,147.89
17,150.91
18,148.17
19,145.97
20,144.1
21,149.8
22,153.66
23,154.94
24,150.78
25,145.33
26,146.35
27,149.9
28,152.42
29,150.04
30,150.91
31,152.46
32,156.29
33,157.07
34,155.88
35,152.47
36,151.04
37,152.92
38,154.02
39,154.68
40,158.39
41,160.57
42,157.44
43,155.57
44,152.4
45,153.91
46,155.48
47,156.83
48,156.48
49,155.64
50,154.11
51,155.27
52,155.16
53,154.17
54,156.86
55,164.36
56,159.14
57,159.59
58,158.32
59,157.78
60,158.36
,
