Time (sec),Watt
1,153.83
2,153.79
3,152.67
4,152.61
5,157.26
6,157.44
7,157.48
8,157.04
9,156.76
10,156.98
11,157.09
12,155.02
13,154.26
14,157.2
15,152.83
16,151.36
17,152.42
18,156.46
19,154.99
20,155.14
21,155.64
22,154.97
23,155.04
24,155
25,154.88
26,155.26
27,155.02
28,154.63
29,154.14
30,154.45
31,154.71
32,154.2
33,154.71
34,154.4
35,154.28
36,153.69
37,154.03
38,153.87
39,153.71
40,153.8
41,154.72
42,153.88
43,153.99
44,153.18
45,154.11
46,153.69
47,153.94
48,152.87
49,152.79
50,152.74
51,153.55
52,153.63
53,153.32
54,153.23
55,152.1
56,153.01
57,153.17
58,152.51
59,153.5
60,153.18
