Time (sec),Watt
1,152.95
2,152.27
3,149.57
4,149.52
5,160.81
6,159.35
7,157.91
8,157.94
9,156.88
10,157.1
11,158.65
12,157.69
13,154.49
14,156.19
15,158.05
16,159.43
17,158.57
18,157.23
19,156.5
20,155.82
21,158.18
22,158.63
23,157.99
24,156.31
25,156.96
26,156.24
27,154.48
28,153.6
29,156.98
30,155.46
31,158.82
32,157.94
33,153.31
34,157.76
35,157.22
36,156.77
37,157.19
38,157.15
39,156.98
40,155.94
41,155.74
42,153.01
43,156.28
44,156.53
45,156.29
46,155.47
47,155.18
48,153.91
49,154.15
50,154.67
51,155.11
52,154.61
53,154.4
54,154.28
55,154.3
56,153.8
57,154.43
58,154.86
59,155.4
60,154.24
