Time (sec),Watt
1,159.5
2,158.89
3,157.56
4,160.57
5,160.29
6,161.46
7,160.71
8,160.91
9,160.72
10,161.29
11,160.07
12,160.35
13,159.9
14,159.77
15,160.08
16,160.35
17,159.28
18,159.27
19,159.26
20,159.16
21,159.26
22,159.33
23,159.52
24,159.36
25,160.09
26,159.44
27,160.04
28,160.22
29,159.82
30,159.43
31,158.76
32,159.18
33,159.33
34,158.42
35,158.62
36,158.58
37,159.15
38,158.9
39,158.55
40,158.87
41,159.22
42,159.31
43,159.06
44,159.07
45,159.12
46,158.79
47,158.82
48,158.97
49,158.46
50,158.37
51,158.81
52,158.59
53,158.31
54,157.77
55,157.68
56,158.09
57,158.24
58,159
59,159.18
60,159.3
