Time (sec),Watt
1,159.93
2,159.26
3,155.82
4,160.3
5,160.75
6,160.98
7,161.28
8,160.77
9,161.46
10,161.21
11,160.66
12,160.93
13,160.16
14,160.59
15,159.64
16,159.22
17,159.06
18,159.11
19,159.85
20,159.26
21,158.24
22,158.42
23,159.43
24,160.18
25,159.84
26,160.17
27,160.09
28,159.65
29,160.54
30,159.52
31,159.95
32,159.21
33,159.6
34,159
35,159.07
36,157.99
37,159.19
38,158.75
39,159
40,158.1
41,159.09
42,158.84
43,158.62
44,159.25
45,159.52
46,158.78
47,158.65
48,158.56
49,159.27
50,158.93
51,158.97
52,158.97
53,159.03
54,158.68
55,159.23
56,158.3
57,158.94
58,158.55
59,158.83
60,159.69
