Time (sec),Watt
1,158.34
2,157.81
3,156.32
4,161.25
5,161.23
6,161.48
7,161.27
8,162.13
9,162.67
10,162.94
11,161.17
12,160.21
13,160.3
14,155.24
15,155.01
16,158.97
17,159.29
18,159.48
19,160.45
20,158.9
21,159.26
22,159.98
23,158.99
24,157.04
25,152.09
26,153.45
27,155.82
28,156
29,156.04
30,155.68
31,155.66
32,156.38
33,155.96
34,156.71
35,155.54
36,155.89
37,154.93
38,155.33
39,154.95
40,156.09
41,155.51
42,156.91
43,156.12
44,156.59
45,155.88
46,156.8
47,155.95
48,156.04
49,156.47
50,156.49
51,157.58
52,155.93
53,155.81
54,155.88
55,155.89
56,155.3
57,155.93
58,156.19
59,156.06
60,156.71
