Time (sec),Watt
1,154.59
2,154.75
3,153.75
4,158.23
5,159.68
6,160.26
7,160.25
8,160.24
9,159.88
10,160.02
11,160
12,159.28
13,158.82
14,158.67
15,158.71
16,158.32
17,158.67
18,157.23
19,151.71
20,155.97
21,156.81
22,156.8
23,157.6
24,156.74
25,157.37
26,157.29
27,157.6
28,156.85
29,157.08
30,157.63
31,156.82
32,157.58
33,157.83
34,157.79
35,156.65
36,157.28
37,157.52
38,157.42
39,156.6
40,156.76
41,156.4
42,155.94
43,156.57
44,157.95
45,157.05
46,156.66
47,155.59
48,155.91
49,157.24
50,157.48
51,156.74
52,157.27
53,156.92
54,156.76
55,156.23
56,154.41
57,155.12
58,155.85
59,154.6
60,155.9
