Time (sec),Watt
1,121.92
2,121.21
3,121.95
4,121.77
5,120.62
6,118.51
7,121.03
8,123.5
9,125.96
10,125.67
11,126.2
12,125.18
13,125.79
14,127.09
15,124.13
16,121.65
17,121.88
18,124.65
19,127.44
20,130.74
21,130.2
22,130.38
23,129.58
24,131.78
25,129.58
26,132.49
27,130.32
28,131.01
29,128.33
30,126.28
31,126.74
32,131.85
33,132
34,134.15
35,137.8
36,143.09
37,144.83
38,148.99
39,151.64
40,153.41
41,154.29
42,155.22
43,159.98
44,155.57
45,154.03
46,152.57
47,153.06
48,156.12
49,154.13
50,155.27
51,151.03
52,155.73
53,156.13
54,154.37
55,150.9
56,146.8
57,145.95
58,150.46
59,152.81
60,158.36
