Time (sec),Watt
1,132.24
2,133.79
3,132.31
4,131.84
5,128.6
6,127.04
7,128.09
8,130.6
9,134.26
10,135.65
11,132.66
12,133.02
13,134.52
14,137.37
15,137.22
16,137.88
17,132.4
18,132.79
19,133.13
20,135.98
21,138.25
22,142.5
23,145.44
24,144.84
25,149.35
26,151.85
27,157.79
28,159.68
29,161.13
30,166.88
31,167.46
32,168.27
33,164.54
34,165.99
35,169.25
36,169.41
37,169.43
38,167.64
39,169.14
40,169.21
41,167.83
42,166.07
43,166.35
44,165.74
45,166.18
46,165.18
47,163.79
48,165.18
49,159.04
50,159.91
51,161.41
52,159.77
53,159.62
54,159.69
55,158.71
56,160.01
57,160.42
58,161.01
59,160.71
60,159.29
