Time (sec),Watt
1,122.08
2,122.07
3,121.48
4,121.89
5,120.98
6,118.92
7,117.26
8,116.46
9,125.34
10,123.78
11,123.65
12,124.76
13,126.61
14,129.01
15,124.62
16,123.17
17,122.84
18,123.66
19,127.26
20,128.8
21,131.72
22,131.24
23,130.8
24,134.17
25,138.06
26,140.75
27,143.01
28,145.28
29,152.1
30,153.21
31,152.77
32,153.79
33,153.66
34,157.8
35,158.63
36,155.18
37,157.47
38,160.03
39,160.61
40,155.65
41,151.75
42,150.38
43,150.88
44,152.8
45,151.38
46,149.83
47,151.46
48,152.1
49,152.64
50,153.34
51,151.2
52,150.38
53,148.96
54,152
55,153.54
56,153.78
57,153.95
58,156.33
59,154.74
60,157.43
