Time (sec),Watt
1,134.36
2,134.44
3,133.34
4,130.44
5,130.07
6,129.96
7,133.07
8,136.23
9,135.64
10,137.96
11,136.13
12,139.63
13,140.54
14,139.63
15,133.86
16,134.55
17,134.59
18,136.16
19,137.46
20,139.78
21,142.18
22,146.44
23,148.66
24,151.83
25,155.23
26,156.88
27,161.86
28,165.36
29,167.36
30,169.84
31,166.66
32,163.39
33,165.59
34,164.12
35,166.22
36,162.55
37,160.19
38,160.1
39,159.9
40,159.03
41,158.42
42,159.06
43,161.24
44,159.51
45,158.7
46,155.81
47,151.49
48,156.56
49,156.48
50,156.38
51,156.1
52,156.06
53,156.63
54,151.32
55,153.03
56,155.18
57,153.27
58,153.1
59,153.99
60,157.45
