Time (sec),Watt
1,134.92
2,134.07
3,134.13
4,134.89
5,132.99
6,132.47
7,131.83
8,132.79
9,133.79
10,136.29
11,137.59
12,137.41
13,138.21
14,138.79
15,139.73
16,137.25
17,136.16
18,136.25
19,135.54
20,137.42
21,140.42
22,139.49
23,144.26
24,143.81
25,147.57
26,143.4
27,149.17
28,150.75
29,154.3
30,155.45
31,160.42
32,160.67
33,162.75
34,159.8
35,160
36,164.1
37,167.34
38,168.07
39,164.96
40,164.33
41,166.53
42,162.24
43,162.64
44,159.7
45,158.36
46,159.78
47,159.85
48,159.55
49,157.01
50,159.19
51,161.01
52,161.76
53,161.29
54,158.66
55,157.7
56,158.11
57,157.78
58,160.25
59,158.53
60,161.11
