Time (sec),Watt
1,143.87
2,143.28
3,143.63
4,141.85
5,141.01
6,139.55
7,141.36
8,143.85
9,146.71
10,145.58
11,147.24
12,148.05
13,147.71
14,145.43
15,143.06
16,141.07
17,142.84
18,148.89
19,147.65
20,150.52
21,154.64
22,154.5
23,157.63
24,159.82
25,157.45
26,154.34
27,150.21
28,145.82
29,149.89
30,152.34
31,154.52
32,156.92
33,160.39
34,162.41
35,167.08
36,165.91
37,167.34
38,167.3
39,168.6
40,164.66
41,164.83
42,159.46
43,162.41
44,161.94
45,164.25
46,156.74
47,156.35
48,157.18
49,161.41
50,152.65
51,153.82
52,153.55
53,153.11
54,154.83
55,157.06
56,159.82
57,157.02
58,148.72
59,148.84
60,149.55
