Time (sec),Watt
1,164.56
2,164.12
3,162.51
4,157.39
5,156.1
6,153.22
7,156.62
8,157.96
9,159.7
10,164.3
11,167.35
12,164.33
13,168.01
14,147.99
15,151.92
16,157.21
17,158.02
18,165.23
19,167.78
20,163.7
21,159.42
22,166.54
23,166.01
24,168.4
25,165.88
26,164.24
27,161.93
28,165.79
29,162.22
30,162.28
31,163.04
32,155.32
33,159.98
34,159.07
35,158.67
36,159.55
37,159.97
38,161.04
39,158.3
40,159.27
41,159.9
42,122.94
43,113.21
44,112.58
45,113.7
46,115.03
47,119.43
48,115.62
49,117.98
50,118.19
51,117.97
52,118.75
53,132.98
54,137.68
55,134.23
56,132.48
57,144.41
58,147.45
59,146.7
60,146.78
