Time (sec),Watt
1,141.01
2,140.91
3,140.48
4,138.45
5,135.56
6,134.93
7,138.42
8,138.8
9,142.05
10,144.79
11,149.05
12,145.84
13,148.26
14,147.37
15,148.36
16,141.93
17,141.8
18,142.38
19,149.36
20,145.53
21,147.58
22,143.37
23,143.89
24,146.67
25,150.11
26,150.55
27,156.91
28,159.91
29,158.5
30,159.11
31,159.76
32,160.51
33,161.42
34,160.62
35,161.95
36,160.42
37,156.2
38,157.02
39,158.89
40,155.6
41,155.69
42,154.8
43,155.87
44,154.7
45,153.83
46,153.98
47,153.26
48,152.69
49,154.52
50,153.4
51,153.6
52,154.54
53,154.6
54,154.58
55,154.88
56,154.01
57,153.89
58,152.37
59,147.81
60,149.13
