Time (sec),Watt
1,123.6
2,123.56
3,123.7
4,122.83
5,121.92
6,119.02
7,122.34
8,123.31
9,124.2
10,126.11
11,124.63
12,123.97
13,124.7
14,126.25
15,127.92
16,126.34
17,125.23
18,124.94
19,126.18
20,127.77
21,138.15
22,130.05
23,134.78
24,131.08
25,134.59
26,137
27,140.46
28,142.64
29,143.67
30,143.89
31,152.27
32,150.24
33,147.3
34,149.74
35,154.11
36,154.94
37,154.61
38,154.71
39,156.58
40,157.53
41,153.92
42,159.33
43,153.29
44,151.23
45,153.6
46,153.5
47,149.4
48,149.1
49,153.15
50,151.05
51,149.24
52,146.04
53,147.13
54,144.84
55,146.19
56,148.82
57,150.31
58,150.63
59,150.35
60,156.27
