Time (sec),Watt
1,110.05
2,109.8
3,111.2
4,113.59
5,114.66
6,105.85
7,103.48
8,103.97
9,106.33
10,115.03
11,116.67
12,115.61
13,116.93
14,116.8
15,117.73
16,117.65
17,118.43
18,117.14
19,115.37
20,112.96
21,114.56
22,120.91
23,121.67
24,122.99
25,120.02
26,124.8
27,126.07
28,127.22
29,129.98
30,133.41
31,132.73
32,138.85
33,140.26
34,139.77
35,140.3
36,142.09
37,142.7
38,143.23
39,142.6
40,140.6
41,141.86
42,141.1
43,141.75
44,139.45
45,138.71
46,137.24
47,136.87
48,135.77
49,134.69
50,138.9
51,136.9
52,137.42
53,136.86
54,134.16
55,133.05
56,133.86
57,134.46
58,136.97
59,135.41
60,136.42
