Time (sec),Watt
1,119.61
2,119.54
3,118.6
4,116.58
5,114.48
6,113.95
7,113.71
8,123.97
9,124.4
10,123.84
11,123.19
12,124.72
13,123.56
14,125.44
15,126.49
16,123.44
17,122.8
18,122.29
19,122.11
20,125.94
21,126.68
22,127.56
23,129.54
24,131.4
25,131.63
26,129.87
27,132.4
28,133.71
29,136.63
30,141.01
31,141.81
32,147.76
33,151.46
34,152.3
35,152.01
36,153.02
37,154.09
38,154.47
39,155.47
40,155.43
41,154.5
42,157.06
43,157.87
44,158.75
45,155.32
46,153.1
47,153.04
48,150.74
49,151.54
50,152.61
51,153.37
52,147.86
53,148.62
54,150.19
55,148.93
56,148.82
57,145.81
58,145.19
59,143.73
60,144.84
