Time (sec),Watt
1,122.82
2,122.73
3,123.03
4,122.53
5,121.39
6,120.49
7,121.18
8,123.95
9,127.11
10,125.73
11,125.35
12,126.34
13,129.54
14,129.38
15,124.08
16,123.28
17,123.85
18,125.18
19,126.94
20,128.91
21,132.11
22,133.88
23,135.13
24,137.26
25,138.71
26,141.4
27,146.78
28,146.58
29,153.72
30,155.13
31,153.64
32,152.39
33,154.76
34,158.42
35,158.9
36,159.93
37,160.66
38,161.08
39,155.97
40,156.7
41,153.3
42,152.77
43,153.22
44,152.15
45,150.41
46,148.93
47,153.94
48,153.01
49,154.18
50,153.51
51,147.57
52,146.83
53,149.63
54,150.7
55,150.56
56,150.12
57,151.99
58,152.92
59,156.27
60,156.04
