Time (sec),Watt
1,134.12
2,133.49
3,131.39
4,131.11
5,128.98
6,128.8
7,127.9
8,127.3
9,130.12
10,131.27
11,134.07
12,135.88
13,135.6
14,136.12
15,138.86
16,138.51
17,137.66
18,134.66
19,134.69
20,133.22
21,133.59
22,138.61
23,139.37
24,139.68
25,144.35
26,143.11
27,146.21
28,147.84
29,150.87
30,156.69
31,160.52
32,161.27
33,163.1
34,164.23
35,166.42
36,167.74
37,165.68
38,166.63
39,168.46
40,167.66
41,166.72
42,167.6
43,162.72
44,163.18
45,163.89
46,162.29
47,163.82
48,160.1
49,158.59
50,156.24
51,158.88
52,158.26
53,157.69
54,158.79
55,156.95
56,154.71
57,154.49
58,154.29
59,157.97
60,158.76
