Time (sec),Watt
1,137.12
2,137.38
3,134.58
4,133.02
5,131.77
6,130.99
7,137.14
8,139.15
9,139.25
10,138.08
11,141.54
12,139.87
13,144.41
14,137.63
15,137.4
16,138
17,140.02
18,142.1
19,146.13
20,148.96
21,150.24
22,153.01
23,156.76
24,157.34
25,162.87
26,165.61
27,161.97
28,164.65
29,163.71
30,160.98
31,160.41
32,159.87
33,160.4
34,159.33
35,155.65
36,155.14
37,157.64
38,157.22
39,153.8
40,154.25
41,152.62
42,156.16
43,154.34
44,154.59
45,154.84
46,155.02
47,154.42
48,151.38
49,149.45
50,150.52
51,153.83
52,152.65
53,153.93
54,153.77
55,154.09
56,154.07
57,154.03
58,154.93
59,148.06
60,149.24
