Time (sec),Watt
1,138.75
2,138.66
3,137.06
4,133.52
5,132.17
6,130.16
7,135.22
8,139.69
9,141.5
10,138.85
11,140.15
12,143.47
13,143.02
14,144.47
15,137.85
16,137.94
17,138.77
18,143.29
19,141.25
20,146.2
21,149.78
22,150.8
23,156.84
24,160.91
25,164.01
26,164.58
27,164.66
28,166.57
29,167.67
30,167.77
31,166.83
32,166.87
33,166.5
34,165.38
35,163.51
36,163.95
37,162.36
38,160.17
39,158.37
40,158.88
41,155.61
42,157.45
43,158.72
44,157.72
45,155.14
46,155.96
47,155.38
48,155.77
49,156.73
50,155.32
51,154.83
52,155.25
53,153.46
54,153.34
55,152.37
56,152.14
57,154.4
58,150.02
59,149.94
60,149.24
