Time (sec),Watt
1,143.7
2,143.15
3,141.82
4,138.56
5,135.88
6,134.8
7,137.67
8,139.81
9,139.54
10,137.89
11,142.09
12,143.59
13,146.82
14,145.87
15,147.41
16,150.11
17,150.91
18,150.85
19,145.88
20,144.27
21,141.99
22,142.86
23,145.77
24,146.39
25,143.05
26,146.68
27,152.03
28,150.86
29,152.89
30,153.59
31,156.01
32,154.36
33,154.13
34,153.95
35,155.85
36,154.7
37,153.01
38,154.35
39,152.64
40,152.67
41,149.34
42,148.32
43,149.69
44,148.35
45,149.14
46,149.83
47,147.97
48,147.61
49,147.51
50,148.29
51,148.62
52,148.69
53,147.49
54,146.88
55,147.79
56,148.56
57,148.11
58,146.89
59,145.12
60,145.67
