Time (sec),Watt
1,148.16
2,154.69
3,152.84
4,152.4
5,154.58
6,150.11
7,144.42
8,148.38
9,152.5
10,155.06
11,159.99
12,149.24
13,151.36
14,154.82
15,159.98
16,152.96
17,147.74
18,149.31
19,152.6
20,149.33
21,149.18
22,151.82
23,159.82
24,155.12
25,151.64
26,147.99
27,150.58
28,150.18
29,156.55
30,156.13
31,148.88
32,157.73
33,155.13
34,152.65
35,152.74
36,153.44
37,151.92
38,153.83
39,159.92
40,153.61
41,153.22
42,155.5
43,153.8
44,152.96
45,147.32
46,146.87
47,148.48
48,147.35
49,150.63
50,155.11
51,158.38
52,149.49
53,150.97
54,151.23
55,148.98
56,149.98
57,152.12
58,153.77
59,152.43
60,152.5
