Time (sec),Watt
1,120.78
2,120.5
3,121.27
4,119.64
5,116.25
6,115.31
7,115.64
8,119.5
9,121.48
10,123.69
11,124.73
12,123.92
13,124.69
14,127.21
15,124.82
16,122.9
17,123.46
18,121.72
19,124.47
20,127.96
21,126.79
22,130.11
23,130.08
24,129.26
25,131.17
26,134.65
27,136.8
28,140.03
29,141.87
30,146.91
31,150.95
32,150.98
33,148.58
34,148.32
35,150.23
36,152.71
37,153.09
38,154.64
39,153.61
40,154.76
41,155.87
42,155.04
43,149.01
44,148.49
45,148.87
46,151.38
47,148.14
48,146.07
49,147.53
50,146.75
51,147.19
52,146
53,144.85
54,142.19
55,143.41
56,144.23
57,145.95
58,146.32
59,148.03
60,151.33
