Time (sec),Watt
1,129.01
2,130.21
3,130.88
4,130.27
5,127.13
6,126.33
7,125.29
8,128.15
9,131.86
10,131.15
11,130.96
12,132.29
13,133.98
14,134.12
15,128.59
16,129.36
17,130.3
18,134.76
19,135.64
20,137.34
21,139.14
22,140.56
23,141.01
24,144.49
25,149.03
26,153.99
27,154.24
28,154.93
29,160.48
30,161.53
31,160.9
32,158.69
33,160.13
34,163.4
35,164.48
36,163.89
37,162.04
38,163.92
39,163.14
40,163.74
41,160.27
42,163.43
43,161.1
44,162.21
45,163.16
46,163.3
47,160.47
48,160.96
49,156.78
50,158.06
51,159.76
52,160.79
53,159.63
54,158.03
55,157.04
56,157.76
57,158.42
58,158.18
59,157.48
60,155.5
