Time (sec),Watt
1,120.01
2,119.24
3,120.28
4,119.67
5,119.12
6,115.84
7,114.82
8,120.89
9,125.5
10,122.04
11,122.18
12,122.54
13,124.43
14,124.81
15,121.78
16,121.19
17,121.98
18,122.22
19,124.5
20,128.08
21,126.44
22,127.77
23,130.68
24,136.98
25,140.18
26,141.3
27,142.03
28,147.98
29,148.19
30,147.6
31,150.03
32,152.21
33,151.75
34,153.89
35,153.5
36,152.81
37,154.39
38,151.98
39,149.57
40,146.19
41,145.71
42,147.81
43,150.47
44,146.7
45,144.63
46,147.07
47,147.12
48,145.39
49,146.35
50,146.02
51,142.92
52,142.27
53,143.82
54,147.14
55,148.85
56,147
57,151.08
58,151.98
59,153.77
60,151.43
