Time (sec),Watt
1,148.84
2,149.67
3,149.73
4,148.86
5,144.11
6,142.15
7,138.97
8,141.35
9,144.7
10,149.86
11,148
12,148.42
13,151.22
14,153.09
15,154.09
16,146.88
17,148.17
18,147.83
19,151.48
20,155.96
21,154.07
22,151.38
23,159.81
24,158.74
25,153.22
26,155.32
27,154.11
28,154.71
29,154.07
30,155.07
31,151.93
32,151.59
33,154.83
34,154.46
35,154.41
36,151.98
37,151.5
38,153.71
39,151.4
40,150.74
41,151.91
42,151.31
43,155.36
44,150.78
45,149.64
46,150.24
47,150.73
48,150.6
49,150.08
50,149.96
51,150.39
52,148.93
53,149.8
54,150.68
55,149.79
56,145.65
57,143.29
58,146.02
59,153.66
60,150.97
