Time (sec),Watt
1,113.85
2,113.61
3,115.44
4,114.22
5,112
6,108.98
7,109.63
8,111.07
9,112.66
10,117.99
11,117.96
12,115.97
13,118.23
14,128.72
15,117.89
16,117.02
17,116.18
18,116.41
19,118.89
20,121.99
21,122.86
22,123.82
23,123.07
24,124.8
25,127.12
26,128.44
27,132.14
28,132.84
29,136.65
30,138.39
31,139.16
32,141
33,140.38
34,141.27
35,143.86
36,143
37,142.68
38,143.14
39,141.8
40,141.57
41,140.62
42,136.82
43,135.83
44,137.64
45,135.57
46,139.86
47,136.17
48,136.63
49,137.85
50,139.38
51,135.54
52,133.1
53,133.44
54,134.68
55,138.01
56,138.63
57,136.82
58,190.88
59,141.7
60,143.63
