Time (sec),Watt
1,125.71
2,125.93
3,124.88
4,123.8
5,123
6,122.64
7,122.14
8,126.07
9,128.07
10,129.13
11,125.57
12,127.24
13,127.35
14,130.64
15,129.02
16,126.23
17,125.24
18,127.19
19,128.83
20,132.14
21,134.24
22,133.78
23,139.99
24,141.46
25,143.66
26,145.78
27,147.41
28,152.79
29,153.24
30,149.03
31,150.56
32,154.56
33,156.65
34,158.7
35,156.73
36,154.11
37,157.84
38,159.57
39,158.48
40,152.1
41,151.42
42,150.38
43,154.75
44,151.21
45,148.77
46,150.48
47,151.4
48,151.83
49,153.64
50,148.88
51,149.7
52,147.82
53,145.98
54,147.84
55,148.97
56,150.8
57,153.94
58,154.39
59,158.82
60,158.15
