Time (sec),Watt
1,115.28
2,115.1
3,116.2
4,117.63
5,115.81
6,108.85
7,107.73
8,112.54
9,118.52
10,118.83
11,118.53
12,119.31
13,119.61
14,119.9
15,118.23
16,117.73
17,117.8
18,118.93
19,120.17
20,125.04
21,124.67
22,123.66
23,124.04
24,124.83
25,127.4
26,130.43
27,132.45
28,133.25
29,134.58
30,141.32
31,140.9
32,140.3
33,138.24
34,141.17
35,143.89
36,143.78
37,143.4
38,144.09
39,143.62
40,140.73
41,141.07
42,136.68
43,136.52
44,138.33
45,137.05
46,134.48
47,134.2
48,133.5
49,136.84
50,139.81
51,138.63
52,138.99
53,138.6
54,131.64
55,131.13
56,133.27
57,134.73
58,137.66
59,138.83
60,137.9
