Time (sec),Watt
1,139.85
2,139.04
3,139.7
4,137.11
5,136.56
6,131.52
7,129.6
8,134.01
9,135.56
10,138.05
11,140.73
12,139.56
13,140
14,143.86
15,142.47
16,139.86
17,138.02
18,137.28
19,138.59
20,145
21,145.6
22,147.31
23,146.62
24,149.13
25,153.72
26,154.51
27,158.09
28,159.44
29,161.92
30,159.83
31,163.08
32,164.03
33,162.52
34,162.19
35,163.05
36,162.41
37,161.22
38,162.91
39,159.55
40,154.18
41,159.09
42,159.89
43,151.22
44,151.63
45,154.41
46,156.9
47,156.08
48,155.78
49,154.77
50,152.46
51,150.86
52,154.05
53,153.47
54,153.78
55,149.74
56,153.01
57,153.58
58,153.19
59,149.54
60,150.84
