Time (sec),Watt
1,122.82
2,121.87
3,124.42
4,123.36
5,121.07
6,117.88
7,115.47
8,113.43
9,119.25
10,123.24
11,126.03
12,125.21
13,124.68
14,125.62
15,126.28
16,126.93
17,124.64
18,124.11
19,123.15
20,124.88
21,129.92
22,130.41
23,131.27
24,130.68
25,133.55
26,134.28
27,137.11
28,141.6
29,145.89
30,148.65
31,152.68
32,153.82
33,152.02
34,150.96
35,152.27
36,152.31
37,155.39
38,156.68
39,155.12
40,156.87
41,155.29
42,154.63
43,152.13
44,150.66
45,153.04
46,152.89
47,149.61
48,147.63
49,151.5
50,151.25
51,154.03
52,153.54
53,147.6
54,145.46
55,146.91
56,147.11
57,150.88
58,151.07
59,150.41
60,154.15
