Time (sec),Watt
1,131.68
2,130.64
3,130.58
4,129.65
5,128.76
6,126.67
7,128.69
8,129.19
9,132.18
10,133.14
11,133.37
12,134.65
13,136.48
14,130.97
15,132.56
16,136.36
17,131.68
18,134.1
19,136.98
20,138.89
21,141.1
22,141.65
23,140.57
24,148.89
25,151.16
26,151.54
27,154.62
28,168.98
29,159.23
30,162.33
31,166.68
32,166.32
33,165.27
34,163.42
35,168.06
36,169.2
37,166.5
38,167.89
39,165.32
40,161.19
41,159.62
42,161.02
43,158.83
44,160.68
45,162.91
46,162.36
47,160.61
48,156.24
49,156.61
50,156.37
51,158.51
52,152.85
53,153
54,155.37
55,154.08
56,156.38
57,153.87
58,154.4
59,152.84
60,152.84
