Time (sec),Watt
1,149.8
2,148.25
3,149.23
4,146.71
5,144.54
6,142.21
7,142.54
8,140.8
9,143.55
10,153.12
11,151.47
12,147.3
13,149.98
14,150.75
15,143.02
16,146.67
17,142.29
18,146.33
19,145.55
20,146.33
21,147.43
22,152.25
23,145.62
24,150.2
25,148.62
26,148.31
27,152.1
28,153.86
29,152.56
30,148.7
31,152.24
32,155.62
33,154.61
34,153.18
35,148.99
36,148.02
37,147.06
38,147.18
39,148.71
40,147.33
41,147.9
42,146.33
43,146.3
44,146.56
45,146.43
46,147.98
47,151.51
48,149.85
49,147.53
50,145.23
51,147.2
52,147.85
53,146.91
54,146.17
55,146.57
56,147.75
57,147.22
58,145.17
59,146.17
60,149.02
