Time (sec),Watt
1,149.77
2,144.2
3,153.99
4,146.58
5,145.99
6,147.68
7,154.86
8,151.96
9,145.15
10,138.08
11,149.03
12,144.48
13,154.06
14,156.36
15,154.27
16,147.8
17,149.55
18,152.33
19,149.33
20,147.45
21,151.64
22,151.36
23,150.85
24,148.95
25,150.6
26,146.82
27,146.94
28,153.22
29,151.81
30,148.45
31,148.47
32,153.64
33,151.54
34,151.77
35,151.17
36,151.36
37,151.63
38,152.06
39,150.94
40,153.2
41,150.06
42,146.87
43,145.09
44,145.9
45,145.68
46,150.97
47,151.49
48,150.83
49,150.16
50,152.54
51,150.39
52,146.59
53,146.67
54,147.79
55,146.38
56,150.89
57,151.4
58,148.13
59,149.09
60,148.43
