Time (sec),Watt
1,149.9
2,148.62
3,134.79
4,137.59
5,142.04
6,143.41
7,145.91
8,149.94
9,152.44
10,150.14
11,150.57
12,151.87
13,153.3
14,149.27
15,147.8
16,149.73
17,147.44
18,146.99
19,149.27
20,152.34
21,149.41
22,151.9
23,147.98
24,147.54
25,157.11
26,157.25
27,156.68
28,158.92
29,152.1
30,150.3
31,150.59
32,150.6
33,149.53
34,148.71
35,149.28
36,150.97
37,150.77
38,150.02
39,148.35
40,149.36
41,146.44
42,148.48
43,148.2
44,149.07
45,148.7
46,148.39
47,147.94
48,148.39
49,146.83
50,149.85
51,148.71
52,149.95
53,148.59
54,148.41
55,148.84
56,149.47
57,149.15
58,147.6
59,148.59
60,150.94
