Time (sec),Watt
1,143.45
2,139.29
3,139.12
4,138.45
5,140.9
6,142.68
7,144.47
8,144.34
9,140.44
10,142.23
11,146.43
12,146.89
13,147.17
14,143.99
15,142.05
16,146.19
17,142.53
18,138.78
19,139.11
20,138.9
21,141.71
22,142.42
23,141.85
24,141.82
25,140.27
26,142.37
27,142.85
28,142.17
29,141.44
30,136.18
31,138.37
32,138.96
33,138.34
34,140.04
35,140.52
36,143.02
37,141.04
38,141.45
39,139.02
40,139.61
41,138.52
42,139.09
43,138.85
44,141.95
45,145.02
46,144.88
47,140.34
48,142.78
49,138.31
50,144.4
51,142.58
52,141.88
53,139.29
54,140.56
55,138.42
56,143.02
57,142.56
58,140.94
59,141.14
60,141.51
