Time (sec),Watt
1,143.69
2,147.49
3,143.11
4,142.61
5,143.6
6,147.1
7,153.83
8,151.76
9,151.53
10,153.34
11,147.78
12,146.87
13,149.75
14,152.46
15,154.15
16,149.76
17,143.53
18,144.2
19,148.29
20,152.4
21,148.24
22,150.88
23,151.2
24,147.64
25,146.98
26,148.95
27,148.9
28,149.35
29,147.35
30,145.5
31,145.64
32,143.88
33,148.31
34,148.13
35,151.7
36,149.47
37,146.88
38,147.14
39,148.92
40,148.14
41,147.49
42,146.84
43,150.84
44,146.47
45,148.56
46,147.63
47,142.65
48,148.72
49,153.05
50,149.91
51,151.62
52,140.85
53,145.18
54,148.09
55,147.01
56,146.69
57,146.03
58,148
59,143.98
60,148.54
