Time (sec),Watt
1,140.3
2,141.33
3,141.09
4,142.41
5,142.3
6,144.85
7,144.34
8,138.95
9,141.02
10,142.21
11,142.48
12,143.26
13,143.33
14,143.44
15,144.47
16,143.31
17,143.16
18,139.31
19,139.41
20,138.23
21,143.55
22,145.87
23,142.07
24,141.72
25,142.39
26,142.77
27,142.88
28,142.52
29,141.95
30,146.07
31,144.22
32,145.74
33,145.21
34,145.35
35,144.23
36,140.65
37,139.73
38,138.79
39,139.23
40,141.63
41,143.61
42,144.9
43,140.84
44,142.04
45,141.1
46,137.74
47,139.49
48,142.67
49,141.56
50,140.81
51,140.8
52,140.52
53,142.76
54,141.29
55,140.39
56,154
57,149.2
58,148.22
59,135
60,135.84
