Time (sec),Watt
1,148.1
2,149.74
3,148.84
4,145.29
5,151.3
6,149.05
7,147.66
8,148.91
9,149.04
10,150.86
11,149
12,147.27
13,150.74
14,145.17
15,147.84
16,150.6
17,149.28
18,146.23
19,150.18
20,154.74
21,150.99
22,146.73
23,146.29
24,146.58
25,146.98
26,146.74
27,147.31
28,151.71
29,152.51
30,148.77
31,148.09
32,148.13
33,148.12
34,149.84
35,147.33
36,148.34
37,147.44
38,147.49
39,146.55
40,147.3
41,147.66
42,148.99
43,146.26
44,147.94
45,145.68
46,145.11
47,145.23
48,146.85
49,146.89
50,146.78
51,146.17
52,147.79
53,144.99
54,146.67
55,146.6
56,146.44
57,145.97
58,145.66
59,145.64
60,148.76
