Time (sec),Watt
1,138.4
2,138.58
3,139.26
4,139.68
5,141.47
6,145.56
7,143.19
8,140.02
9,137.05
10,140.99
11,142.28
12,140.31
13,140.13
14,140.78
15,141.71
16,139.31
17,143.16
18,146.15
19,140.73
20,140.43
21,140.24
22,139.86
23,141.25
24,141.4
25,140.31
26,140.48
27,142.08
28,142.4
29,140.87
30,140.5
31,144.47
32,145.68
33,146.39
34,145.12
35,141.59
36,140.92
37,140.53
38,142.86
39,141.78
40,141.75
41,140.4
42,138.47
43,139.83
44,139.49
45,140.19
46,144.84
47,145.26
48,142.95
49,138.58
50,138.22
51,139.33
52,139.63
53,140.7
54,140.08
55,140.47
56,139.55
57,139.5
58,139.83
59,141.07
60,145.23
