Time (sec),Watt
1,139.25
2,139.59
3,138.72
4,140.22
5,139.76
6,141.19
7,144.72
8,145.65
9,145.57
10,140.64
11,143.95
12,140.12
13,138.39
14,141.79
15,141.75
16,140.48
17,139.78
18,140.16
19,138.74
20,140.17
21,139.05
22,141.08
23,143.33
24,141.65
25,140.61
26,141.2
27,141.24
28,142.29
29,142.82
30,142.64
31,142.72
32,142.86
33,142.49
34,141.83
35,141.58
36,138.44
37,141.3
38,142.68
39,144.26
40,143.22
41,141.95
42,142.75
43,141.95
44,139.42
45,140.04
46,141.1
47,141.21
48,143.63
49,140.72
50,138.73
51,137.03
52,139.9
53,140.23
54,139.91
55,143.1
56,142.34
57,141.1
58,146.06
59,141.39
60,140.23
