Time (sec),Watt
1,150.5
2,149.93
3,148.34
4,150.66
5,155.77
6,159.02
7,153.32
8,147.98
9,151.43
10,151.55
11,152.15
12,151.86
13,153.1
14,153.05
15,154.34
16,151.34
17,148.78
18,149.7
19,151.25
20,150.89
21,152.77
22,147.6
23,149.89
24,152.89
25,153.2
26,151.09
27,150.37
28,150.47
29,152.38
30,151.92
31,149.09
32,153.33
33,151.88
34,150.15
35,149.46
36,150.8
37,149.82
38,150.42
39,151.39
40,154.36
41,150.81
42,150.89
43,153.47
44,150.41
45,150.25
46,151.1
47,150.56
48,150.13
49,150.74
50,151.54
51,150.71
52,150.86
53,153.09
54,149.23
55,152.21
56,154.5
57,154.01
58,152.81
59,148.38
60,148.47
