Time (sec),Watt
1,143.14
2,143.33
3,142.6
4,143.48
5,143.34
6,146.57
7,146.66
8,145.28
9,146.14
10,149.6
11,149.6
12,148.68
13,148.77
14,144.08
15,145.66
16,143.5
17,148.31
18,148.81
19,147.78
20,147.39
21,147.72
22,150.03
23,150.08
24,151.01
25,153.42
26,149.43
27,148.57
28,144.97
29,147.09
30,148.34
31,148.87
32,148.05
33,147.03
34,151.37
35,151.58
36,147.24
37,146.61
38,147.97
39,149.31
40,147.42
41,148.04
42,145.28
43,148.81
44,150.83
45,151.7
46,148.62
47,146.46
48,149.36
49,149.93
50,148.44
51,147.24
52,149.59
53,149.72
54,147.85
55,147.89
56,151.15
57,147.89
58,150.31
59,152.27
60,149.43
