Time (sec),Watt
1,147.7
2,147.59
3,150.01
4,149.65
5,151.12
6,151.95
7,153.23
8,153.61
9,150.38
10,149.22
11,150.91
12,151.11
13,148.2
14,149.17
15,151.48
16,154.55
17,152.85
18,148.85
19,150.56
20,153.64
21,150.72
22,150.79
23,149.52
24,151.65
25,149.3
26,153.12
27,149.91
28,151.5
29,151.16
30,150.43
31,150.88
32,150.77
33,150.37
34,151.83
35,149.61
36,148.65
37,148.23
38,147.2
39,147.05
40,148.04
41,151.83
42,151.43
43,149.11
44,148.93
45,149.27
46,147.31
47,150.91
48,152.9
49,149.76
50,152.37
51,152.47
52,150.89
53,151.3
54,151.63
55,147.36
56,148.32
57,153.86
58,153.03
59,152.72
60,152.93
