Time (sec),Watt
1,151.66
2,153.41
3,152.33
4,150.67
5,150.8
6,152.01
7,150.91
8,153.71
9,148.22
10,142.81
11,140.25
12,152.43
13,154.94
14,154.19
15,144.35
16,141.39
17,141.1
18,136.5
19,136.48
20,140.26
21,140.17
22,139.5
23,140.22
24,139.61
25,141.28
26,138.59
27,133.61
28,138.54
29,140.52
30,140.91
31,141.3
32,144.21
33,145.91
34,144.65
35,148.52
36,151.31
37,145.71
38,141.29
39,140.79
40,139.03
41,140.53
42,142.72
43,146.46
44,150.64
45,150.2
46,145
47,139.5
48,141.27
49,141.6
50,140.64
51,141.41
52,141.7
53,142.07
54,141.98
55,141.96
56,142.54
57,142.4
58,142.72
59,142.65
60,140.88
