Time (sec),Watt
1,152.21
2,151.78
3,153.2
4,153.73
5,148.21
6,140.37
7,147.19
8,151.65
9,152.98
10,153.11
11,148.42
12,141.45
13,139.88
14,136.41
15,138.7
16,135.56
17,138.67
18,134.8
19,136.65
20,138.05
21,138.92
22,139.02
23,139.03
24,138.4
25,135.89
26,135.42
27,138.11
28,139.43
29,139.46
30,139.62
31,141.76
32,142.92
33,143.98
34,142.39
35,146.32
36,142.64
37,145.08
38,136.74
39,139.82
40,141.48
41,148.93
42,146.4
43,149
44,149.63
45,143.98
46,138.87
47,141.24
48,141.2
49,140.88
50,140.91
51,140.24
52,140.45
53,140.29
54,140.92
55,139.14
56,140.77
57,141.34
58,138.79
59,139.33
60,140.64
