Time (sec),Watt
1,144.33
2,142.28
3,147.34
4,147.32
5,147.14
6,143.59
7,150.26
8,149.15
9,147.68
10,148.88
11,148.09
12,147.79
13,147.86
14,148.23
15,142.52
16,150.14
17,150.18
18,148.91
19,150.2
20,150.27
21,145.39
22,148.33
23,144
24,146.09
25,146.35
26,141.56
27,146.89
28,147.1
29,147.03
30,147.29
31,149.01
32,151.24
33,150.64
34,151.62
35,145.6
36,148.81
37,148.54
38,149.15
39,148.19
40,148.94
41,147.65
42,146.11
43,148.1
44,148.5
45,147.55
46,147.26
47,147.9
48,148.45
49,147.83
50,146.69
51,146.16
52,145.83
53,145.87
54,146.7
55,146.59
56,146.43
57,145.71
58,146.43
59,146.8
60,147.06
