Time (sec),Watt
1,151.71
2,151.25
3,151.06
4,150.72
5,151.56
6,148.92
7,143.99
8,148.06
9,153.58
10,157.07
11,149.83
12,144.39
13,144.13
14,145.06
15,139.9
16,142.87
17,144.27
18,143.03
19,142.56
20,143.94
21,142.95
22,144.81
23,143.07
24,139.45
25,139.03
26,141.47
27,142.52
28,143.38
29,143.32
30,144.39
31,144.92
32,147.43
33,149.11
34,152.46
35,152.72
36,152.03
37,151.67
38,149.27
39,145.43
40,146.15
41,148.78
42,147.97
43,151.8
44,152.76
45,152.45
46,148.49
47,142.69
48,141.97
49,143.98
50,145.01
51,144.57
52,145.29
53,144.49
54,144.96
55,145.07
56,144.31
57,144.79
58,144.61
59,143.94
60,140.47
