Time (sec),Watt
1,150.61
2,149.97
3,149.93
4,151.32
5,152.46
6,154.25
7,156.24
8,153.93
9,151.87
10,154.21
11,153.9
12,148.85
13,153.03
14,148.26
15,150.32
16,154.36
17,153.23
18,155.67
19,155.01
20,151.68
21,152.45
22,151.95
23,151.06
24,156.53
25,157.09
26,156.95
27,155.17
28,150.84
29,150.06
30,151.01
31,152.06
32,153.72
33,155.1
34,155.18
35,153.62
36,148.83
37,151.52
38,152.55
39,152.02
40,150.34
41,155.01
42,150.88
43,149.95
44,153.79
45,157.65
46,153.57
47,149.64
48,150.77
49,152.06
50,152.84
51,152.54
52,150.69
53,149.9
54,148.95
55,148.78
56,148.53
57,150.98
58,155.92
59,157.41
60,152.33
