Time (sec),Watt
1,83.17
2,82.67
3,82.52
4,83.73
5,84.42
6,83.43
7,83.67
8,84.34
9,83.97
10,81.94
11,81.56
12,82.48
13,82.62
14,82.69
15,82.53
16,82.58
17,83.06
18,81.39
19,81.95
20,81.97
21,83.38
22,82.78
23,81.82
24,82
25,81.45
26,81.46
27,80.7
28,80.73
29,81.35
30,81.96
31,81.57
32,81.03
33,82.01
34,80.89
35,81.48
36,81.98
37,82.79
38,81.7
39,81.89
40,81.75
41,82.4
42,81.91
43,82.32
44,81.36
45,82.28
46,81.82
47,82.79
48,80.7
49,82
50,82.12
51,82.66
52,81.18
53,82.36
54,81.38
55,81.71
56,81.93
57,83.15
58,84.19
59,85.18
60,83.64
