Time (sec),Watt
1,90.74
2,89.64
3,89.02
4,92.36
5,94.35
6,92.87
7,90.56
8,93.98
9,93.41
10,91.5
11,88.77
12,88.68
13,93.4
14,94.61
15,93.29
16,93.63
17,93.45
18,91.7
19,89.66
20,89.16
21,90.63
22,93.64
23,92.76
24,92.56
25,91.66
26,92.96
27,90
28,87.73
29,87.6
30,88.23
31,87.42
32,87.98
33,87.72
34,88.42
35,88.21
36,88.82
37,88.84
38,89.11
39,89.43
40,93.07
41,93.23
42,91.65
43,89.92
44,89.13
45,89.03
46,90.29
47,92.5
48,92.25
49,91.01
50,90.1
51,92.98
52,93.71
53,93.57
54,90.57
55,89.62
56,89.55
57,93.23
58,93.25
59,94.12
60,94.8
