Time (sec),Watt
1,83.45
2,82.93
3,85.05
4,83.79
5,83.5
6,82.44
7,82.58
8,82.7
9,82.74
10,83.19
11,83.82
12,85.68
13,81.24
14,80.07
15,79.72
16,80.23
17,79.69
18,83.72
19,83.95
20,83.35
21,82.77
22,82.77
23,82.51
24,83.16
25,82.71
26,82.47
27,83.09
28,82.98
29,83.13
30,83.71
31,84.08
32,82.74
33,82.39
34,82.96
35,82.69
36,82.39
37,83.12
38,82.7
39,82.93
40,82.42
41,81.32
42,81.92
43,82.37
44,82.74
45,81.54
46,81.69
47,82.46
48,81.44
49,82.3
50,81.88
51,81.52
52,80.56
53,80.48
54,81.17
55,81.87
56,82.97
57,81.97
58,83.38
59,83.69
60,83.51
,
,
